Product Code/SKU,Cost Price,Selling Price
171639,9180.0,11057.0
166586,4760.0,5974.0
161211,7735.0,9395.25
148979,6885.0,8417.75
171647,9180.0,11057.0
169661,8840.0,10666.0
154762,8670.0,10470.5
171649,3400.0,4410.0
171650,3400.0,4410.0
148989,7735.0,9395.25
169684,8840.0,10666.0
161411,7140.0,8711.0
148960,7735.0,9395.25
169644,8840.0,10666.0
156005,7480.0,9102.0
155231,6885.0,8417.75
153393,6630.0,8124.5
154761,7480.0,9102.0
161224,5355.0,6658.25
154750,8670.0,10470.5
155446,7140.0,8711.0
155229,7140.0,8711.0
161258,7437.5,9053.125
155445,7140.0,8711.0
169690,9945.0,11936.75
155221,7140.0,8711.0
142435,5610.0,6951.5
161259,7437.5,9053.125
161256,7480.0,9102.0
169639,10710.0,12816.5
155346,7735.0,9395.25
161261,6120.0,7538.0
155228,7140.0,8711.0
155225,5950.0,7342.5
161725,6545.0,8026.75
161759,5950.0,7342.5
161238,6545.0,8026.75
161265,5440.0,6756.0
162867,5355.0,6658.25
154749,7480.0,9102.0
142433,6375.0,7831.25
155453,7480.0,9102.0
170840,8840.0,10666.0
161218,6290.0,7733.5
155452,6290.0,7733.5
155447,7140.0,8711.0
161729,4590.0,5778.5
142431,5610.0,6951.5
155451,6290.0,7733.5
165392,5440.0,6756.0
154752,8330.0,10079.5
155224,6885.0,8417.75
145891,9520.0,11448.0
157674,5355.0,6658.25
142413,6375.0,7831.25
161730,5100.0,6365.0
161731,5950.0,7342.5
149000,3060.0,4019.0
155333,8925.0,10763.75
155232,5950.0,7342.5
155326,8925.0,10763.75
155363,8925.0,10763.75
171642,8797.5,10617.125
161726,6290.0,7733.5
161247,5355.0,6658.25
161715,6290.0,7733.5
161227,6545.0,8026.75
162868,3910.0,4996.5
162869,3910.0,4996.5
161241,5695.0,7049.25
161262,5355.0,6658.25
146528,5100.0,6365.0
161260,5355.0,6658.25
161766,5950.0,7342.5
142419,3060.0,4019.0
162584,3315.0,4312.25
142412,3825.0,4898.75
157682,5355.0,6658.25
162585,3315.0,4312.25
161718,3570.0,4605.5
155325,8925.0,10763.75
157683,5355.0,6658.25
142417,3060.0,4019.0
161396,4165.0,5289.75
155369,6800.0,8320.0
154775,8330.0,10079.5
157680,8075.0,9786.25
142420,5100.0,6365.0
157672,7140.0,8711.0
155355,8925.0,10763.75
154755,8330.0,10079.5
161234,5355.0,6658.25
142406,5865.0,7244.75
157684,6885.0,8417.75
161413,4080.0,5192.0
161240,5950.0,7342.5
161245,5950.0,7342.5
154760,7140.0,8711.0
155328,7140.0,8711.0
155338,7480.0,9102.0
157675,6885.0,8417.75
161719,5100.0,6365.0
146284,8670.0,10470.5
157685,6885.0,8417.75
155362,7480.0,9102.0
146308,7650.0,9297.5
155356,10200.0,12230.0
162871,4760.0,5974.0
155337,7480.0,9102.0
155332,10455.0,12523.25
161762,7735.0,9395.25
160000,6885.0,8417.75
155340,5950.0,7342.5
165037,5737.5,7098.125
155344,9860.0,11839.0
153438,3825.0,4898.75
156004,6885.0,8417.75
154776,5950.0,7342.5
145898,5950.0,7342.5
155335,7140.0,8711.0
155341,5695.0,7049.25
161721,5950.0,7342.5
152080,4505.0,5680.75
155348,5950.0,7342.5
155339,5950.0,7342.5
